node_id,x_in,y_in,ux_in,uy_in,vm_psi
0,-3.69504166,1.60000002,0.00378179969,-0.00085930666,5654.3488
1,-4.61880207,0,0.00340182101,7.98935389e-07,7522.96936
2,-2.30940104,4,0.00625472609,-0.00255919667,20696.4678
3,0.461880207,4,0.00922076963,-0.00356344273,32099.5781
4,2.30940104,4,0.0112262694,-0.00260966597,20707.5742
5,3.23316145,2.4000001,0.0132919773,-0.0013990344,5061.84119
6,4.61880207,0,0.0140792839,-5.17129702e-05,7523.11731
7,3.69504166,-1.60000002,0.0136992978,0.000808404118,5654.38053
8,2.30940104,-4,0.0112263625,0.00250829593,20696.4739
9,-0.461880207,-4,0.00826031808,0.00351252547,32099.5693
10,-2.30940104,-4,0.00625481876,0.00255873869,20707.5684
11,-3.23316145,-2.4000001,0.00418911688,0.00134810677,5061.83936
12,28.0327873,-5,0.017166594,0.000207646619,4999.82829
13,26.0655746,-5,0.0168275498,0.000207706718,4998.58643
14,24.0983601,-5,0.016488675,0.000207829929,4995.19076
15,22.1311474,-5,0.0161502119,0.000207878984,4987.25505
16,20.1639347,-5,0.0158126056,0.00020733643,4974.00521
17,18.196722,-5,0.0154763032,0.000204751967,4958.83594
18,16.2295074,-5,0.0151410494,0.000196887049,4963.55355
19,14.2622948,-5,0.0148034282,0.000178028728,5060.8724
20,12.2950821,-5,0.01445104,0.000141143406,5436.29704
21,10.3278685,-5,0.0140507026,8.63413152e-05,6467.94645
22,8.36065578,-5,0.0135315303,4.83860458e-05,8746.64339
23,6.39344263,-5,0.0127748214,0.000171202628,12631.1305
24,4.42622948,-5,0.0116494969,0.000822679198,17445.3538
25,2.45901632,-5,0.0103180045,0.00249185367,17859.9385
26,-0.491803288,-5,0.00840760674,0.00388286565,25910.9751
27,-2.45901632,-5,0.00716209505,0.00254254485,17860.5241
28,-4.42622948,-5,0.0058316011,0.000874123711,17437.2982
29,-6.39344263,-5,0.00470615737,0.000222984789,12619.1237
30,-8.36065578,-5,0.00394931575,0.000100720361,8740.95947
31,-10.3278685,-5,0.00343010738,0.000138284944,6466.57178
32,-12.2950821,-5,0.00302988268,0.000193104948,5433.68197
33,-14.2622948,-5,0.00267764018,0.000230223101,5059.07829
34,-16.2295074,-5,0.00234015286,0.000249368488,4960.66732
