node_id,x_in,y_in,ux_in,uy_in,vm_psi
0,0.659340024,1.92857003,0.00538439164,-0.000600082509,20805.8672
1,0.489010006,1.75823998,0.00516331429,-0.000584276568,10643.6156
2,0.917585015,2,0.00565339206,-0.0006027575,25302.8496
3,1.18131995,1.92307496,0.00592408841,-0.00057295314,18538.7533
4,1.36263502,1.73626494,0.00614770269,-0.000523572962,7268.13167
5,1.40906501,1.54352498,0.00628069323,-0.00049009826,3554.493
6,1.42307496,1.27472496,0.00640237425,-0.000439971453,4489.35026
7,1.42307496,-0.478020012,0.00657786056,-0.000115480863,4745.98039
8,1.32792497,-1.25222003,0.00642009312,4.87791258e-05,4010.45947
9,1.16937184,-1.56408048,0.00627515418,0.000129117761,5643.64046
10,0.924409986,-1.81486499,0.0060876538,0.000206452867,9460.76351
11,0.48448807,-2.01655865,0.00581847085,0.000290181924,13248.2298
12,0,-2.0659349,0.00553347496,0.000332376105,15293.2503
13,-0.64835,-1.96703506,0.00512995385,0.000332198513,14302.5072
14,-1.07292998,-1.68826497,0.00482677761,0.000275401282,7627.00863
15,-1.35165,-1.19780004,0.00457646698,0.000175891808,3158.04557
16,-1.42307496,-0.708790004,0.00445832219,6.7191555e-05,6287.94466
17,-1.39636517,-0.5235219,0.00443597743,1.66064001e-05,6843.37728
18,-1.30219996,-0.362634987,0.00442695804,-3.74394585e-05,5562.2758
19,-1.14362347,-0.259981632,0.00442410586,-9.50915928e-05,3384.79777
20,-0.956044972,-0.230770007,0.00441668602,-0.000151227097,1721.82436
21,-0.821399391,-0.247004151,0.00440582214,-0.000189723534,1062.44248
22,-0.697799981,-0.30219999,0.00438538054,-0.000224507312,691.018239
23,-0.562754989,-0.484539986,0.00433057174,-0.000262730638,118.188515
24,-0.479550004,-0.758615017,0.00425368035,-0.00028661199,33.3370533
25,-0.331575006,-1.14414001,0.00414704205,-0.000327884394,11.9973834
26,-0.193872824,-1.24543655,0.00411906559,-0.000365993357,8.00264907
27,-0.0219800007,-1.26923001,0.0041125291,-0.000413523579,8.35825014
28,0.177354857,-1.23418105,0.00412226841,-0.000468623592,8.05025816
29,0.324175,-1.09889996,0.00415970059,-0.000509171106,11.5908836
30,0.417580009,-0.615384996,0.00429337285,-0.000534673512,116.22652
31,0.417580009,1.27472496,0.00485589122,-0.000565789232,1347.63741
32,0.425859988,1.55528498,0.0050049522,-0.000574920501,3151.33708
33,28.0327873,-5,0.0106950933,0.000235025334,5000.00602
34,27.049181,-5,0.0105255498,0.000227956494,4999.98047
35,25.0819664,-5,0.0101864664,0.000213827516,4999.80941
36,24.0983601,-5,0.0100169322,0.000206769517,4999.61735
37,22.1311474,-5,0.0096779,0.00019266436,4998.71924
38,20.1639347,-5,0.00933897495,0.000178544316,4996.80355
39,19.1803284,-5,0.00916958228,0.000171435488,4994.78499
40,17.2131157,-5,0.00883104466,0.000156969298,4991.19401
41,16.2295074,-5,0.00866191182,0.000149460204,4989.17025
42,14.2622948,-5,0.00832380448,0.000133337337,4989.58708
43,12.2950821,-5,0.00798529014,0.000114186943,5014.18555
44,11.3114758,-5,0.0078149708,0.000102734186,5048.76969
45,9.34426212,-5,0.00746764941,7.60545299e-05,5240.26855
46,8.36065578,-5,0.00728690019,6.05664391e-05,5379.06982
47,6.39344263,-5,0.00689943833,3.52543902e-05,6000.96973
48,4.42622948,-5,0.00645044772,5.87314389e-05,6998.04557
49,3.4426229,-5,0.00619990611,0.0001129351,7351.98096
50,1.47540987,-5,0.00571180228,0.00034645389,6528.53402
51,-0.491803288,-5,0.00535633415,0.000502442184,5459.18848
52,-1.47540987,-5,0.00518830214,0.000447556842,5837.74089
53,-3.4426229,-5,0.00474623358,0.000282535417,6689.17932
54,-4.42622948,-5,0.00451565068,0.000239917252,6467.80111
55,-6.39344263,-5,0.00409099041,0.000218984598,5764.85124
56,-8.36065578,-5,0.00371623086,0.000231387603,5272.95654
57,-9.34426212,-5,0.00353884115,0.00023883325,5168.8431
58,-11.3114758,-5,0.00319437636,0.000249301345,5028.67448
